#Cfactor 0.0275981977
Recipient TSs156A TSs361 TSs368 TSs49 TSs138B TSs22B TSs287 TSs383 TSs314A TSs30 TSs291 TSs157A TSs27 TSs363 TSs9 TSs151B TSs133 TSs155 TSs209 TSs136 TSs22A TSs357 TSs161 TSs11 TSs5A TSs131 TSs294 TSs378 TSs336 TSs111 TSs56 TSs3A TSs95 TSs2 TSs44C TSs201 TSs217 TSs168 TSs98 TSs116 TSs53 TSs63A TSs158 TSs269 TSs317 TSs49A TSs417 TSs195 TSs371 TSs23 TSs51 TSs59B TSs365 TSs224 TSs325 TSs119A TSs166 TSs297 TSs338 TSs293 TSs24 TSs334 TSs1A TSs266 TSs277 TSs60B TSs303 TSs120 TSs132 TSs78 TSs61 TSs60 TSs274 TSs10A TSs96 TSs282 TSs56A TSs296 TSs33 TSs311 TSs68 TSs104 TSs58 TSs358 TSs82 TSs15 TSs3 TSs4 TSs331 TSs314B TSs333 TSs7 TSs38 TSs10 TSs48
TSs291 18.582847 17.979615 18.457348 19.333418 19.2846 18.99002 24.173164 22.251744 19.288719 20.452756 0 18.554097 19.34361 18.507913 19.03971 17.84617 18.431207 21.273094 21.298122 19.687103 19.374227 19.968716 20.677677 21.241512 19.650469 18.857207 19.294921 19.597338 19.259762 20.460424 20.650429 18.991884 19.658269 19.529777 20.227153 20.874595 23.84056 18.86545 20.765134 19.81624 18.820435 21.415511 20.665757 19.221897 19.504704 20.504815 24.759012 19.841218 22.109528 19.857136 19.507171 18.463858 19.716962 19.669137 20.702836 19.337215 19.832804 20.108318 19.405088 19.140366 20.450005 20.45128 19.510718 18.927771 19.525414 20.613576 18.709412 20.825077 20.145215 23.11412 20.949959 18.840135 19.269944 19.064653 19.253447 18.157486 22.37658 19.14061 20.942792 22.905046 19.509005 19.408414 21.779936 17.892128 22.20153 20.488703 18.590558 19.212822 20.050396 19.701386 20.67369 19.884675 22.423151 18.757917 19.676164
TSs157A 18.629347 18.033534 21.772819 19.597575 18.738002 19.894307 20.648379 19.739286 19.635002 19.958114 18.255394 0 20.136665 18.505619 20.871674 18.179756 19.410783 18.152208 19.352545 24.452635 19.045773 18.372062 20.151569 19.430147 19.351588 21.222752 20.07237 19.4476 21.082855 19.18205 24.460388 20.619135 21.493497 19.193756 19.934194 18.526617 19.148736 19.948297 21.28576 19.946063 22.44474 19.738892 19.587429 18.710893 22.011038 19.205668 19.231956 18.317295 20.232875 19.058754 22.319762 21.537443 18.520793 18.904876 18.050612 18.617643 21.889386 19.032068 20.139643 20.369961 20.19162 20.288814 19.975321 23.112907 20.261297 19.488423 21.268474 19.398748 20.265992 19.086352 18.986661 21.904195 19.327809 22.376543 19.527299 23.955453 20.666939 19.472047 19.078976 19.886028 20.242959 20.627668 20.466981 18.031385 20.789596 19.600429 20.127311 21.541013 20.062948 19.812258 19.594118 18.623847 19.10927 19.350984 22.157649
TSs27 21.046991 20.305662 19.780856 19.751452 20.323642 20.36465 20.128769 20.455478 20.512573 20.418699 19.054255 20.496491 0 20.274669 20.497655 20.232627 20.497798 20.426328 20.512525 19.671965 19.474106 20.184544 19.901533 21.293118 20.736361 20.597216 19.431667 20.240501 19.745817 19.500349 19.345 19.811623 19.47693 18.907857 21.328958 20.622531 19.314387 20.883396 19.489127 19.718583 20.489194 20.165456 19.874272 20.034245 20.173605 19.582642 21.046353 21.378836 20.009271 21.106213 19.457472 19.492713 20.368732 20.222319 19.952653 20.717026 19.11196 18.695296 19.593675 19.803854 21.730638 20.031425 19.168448 20.988294 20.233705 19.256897 19.147531 20.245106 20.847118 19.676034 19.962615 19.364702 19.763472 19.666926 19.50065 19.597211 19.920944 19.392141 20.832084 19.579799 19.887981 21.566999 19.929771 20.184369 20.028218 19.852525 19.236155 20.606322 20.099308 20.648518 19.869087 19.562467 20.145239 20.981115 19.637676
TSs363 29.011674 29.234787 18.748643 18.540706 26.546428 19.514472 18.182577 19.195107 18.367886 18.989184 18.325235 18.447829 20.026273 0 19.456161 29.087049 25.815048 25.081698 18.855348 19.019751 18.946575 24.719294 18.971013 18.393896 21.622678 18.856141 18.841068 18.94653 19.557143 25.403278 17.972039 18.726267 19.005733 19.61431 20.755403 17.940268 18.129689 19.679129 18.047713 19.370799 18.8837 19.327947 20.742423 19.413095 17.823152 20.645026 18.782933 22.859341 18.52977 20.876564 17.772839 19.641937 25.802754 22.51418 18.091331 20.203376 17.522446 19.764099 19.322307 19.108147 17.969486 18.218523 19.960171 18.718709 20.680976 19.424072 18.029743 19.404633 17.961486 18.295466 19.219242 19.278676 19.792605 19.501025 17.865036 20.29333 18.980329 18.894341 18.980413 18.31559 19.490779 19.18223 19.215551 29.186838 18.532504 18.75542 18.073875 20.051504 18.667237 18.453433 17.830241 21.219126 18.060614 21.528169 19.143701
TSs9 19.120176 18.93404 23.578118 19.948249 18.964604 21.352485 20.630839 19.112637 19.808617 20.38225 18.844727 20.856559 20.185442 19.532072 0 19.044293 19.217908 18.612723 19.243744 21.192042 20.902777 19.326208 18.129485 19.896282 19.056914 20.131355 20.002163 19.643855 20.008651 18.991891 21.52106 20.112523 18.813684 20.689411 19.790186 19.152905 18.116456 19.345892 19.620335 20.522223 21.914178 20.071989 20.852519 19.586061 19.661213 20.056467 18.611804 19.643963 18.766019 19.297829 19.702074 23.012245 19.103084 19.473815 19.410123 18.892937 19.862499 20.04299 20.495529 20.526899 19.787545 19.512581 20.39642 20.945298 20.128158 20.967508 20.506946 19.343529 19.086806 19.131606 18.740283 23.624903 19.039004 22.897545 18.93346 26.317318 18.983982 20.604019 19.689468 20.453398 23.109056 20.368723 20.465497 18.949622 19.547553 20.703995 21.017464 21.00863 19.516847 21.020143 19.634183 19.221547 17.885201 19.094196 19.240215
TSs151B 27.889749 40.866098 17.678023 17.937171 26.507262 19.202289 17.610483 18.133049 18.362903 17.876264 17.47231 18.100883 19.928318 28.942628 18.803131 0 26.843343 25.688478 18.742347 18.234272 18.646316 30.341702 17.534464 17.369752 21.377004 19.216839 19.556388 18.111805 18.902266 25.214806 17.312695 18.112898 18.738047 18.767488 20.26873 17.645577 17.490802 20.220776 17.768872 18.499501 17.96165 18.765223 19.185594 20.512564 17.707773 19.488328 18.36048 22.481072 17.24135 19.93673 17.815412 19.208797 25.676896 22.67172 17.390914 20.281987 17.614118 19.187052 19.606377 18.620815 17.292417 17.752356 19.261314 18.161099 20.385249 18.730488 18.196227 19.17001 18.994322 17.905469 19.613975 18.395058 19.845085 18.701036 17.509714 18.754394 18.219633 18.286061 18.699248 17.43127 19.530832 18.028103 17.927663 40.530016 17.357746 18.350991 17.467794 19.351651 18.692506 18.4168 17.765486 20.89113 18.211169 20.871088 19.262966
TSs133 27.008374 27.328288 18.524307 18.921896 25.290701 19.945624 18.471442 19.353978 18.457417 18.936226 18.338953 19.291136 20.332274 25.979621 19.309782 27.21365 0 27.093486 19.153712 19.033636 19.321871 24.104064 18.638912 18.155459 21.217226 19.548469 19.413906 18.659397 19.012165 23.397414 18.723208 18.565182 18.37311 19.352272 20.997551 18.586555 18.730561 19.973703 18.346575 19.623221 18.953935 19.070136 20.523875 19.89259 18.539087 21.076192 18.931096 21.696661 18.273568 20.174148 18.606423 19.281692 25.267285 22.34662 18.831496 20.171704 19.245651 19.277591 19.99125 20.067108 17.869092 18.263969 20.139661 18.968443 20.262066 19.473402 18.089838 19.388063 18.924696 19.466341 19.737052 19.1358 20.68305 18.769697 18.670686 19.768085 18.807359 19.142519 20.582928 18.554995 19.356516 18.719143 18.275691 27.078301 18.253189 18.775506 18.178311 19.6464 19.675098 19.096931 18.823685 20.571122 19.453656 22.04957 20.315011
TSs155 23.745361 25.879136 18.260662 18.46857 24.68571 19.031283 19.272274 20.003775 18.565648 19.115381 20.825971 18.078446 20.125853 24.969727 18.507349 25.708085 26.678099 0 19.289506 18.675159 18.205612 23.392728 19.046758 18.907589 20.282591 18.958134 19.928634 18.991789 18.887123 23.43235 19.256397 17.685851 17.865866 18.168084 20.19341 19.010948 21.341239 20.223634 19.279352 18.802507 18.838789 19.853623 20.945271 20.093747 17.364948 20.071443 20.218214 20.92812 19.306074 20.507416 18.039449 18.779117 23.907146 21.031158 19.174529 19.070371 18.5793 17.776938 18.612517 18.362419 17.861557 18.890903 19.557269 17.925963 19.811513 18.701558 18.045543 19.104335 18.954745 20.332178 21.094561 17.804483 19.620301 18.165745 18.103195 18.407858 20.426372 19.162387 21.850747 18.753379 19.369652 18.598604 19.687977 25.521532 19.628522 18.906356 18.571555 18.830845 18.689329 18.733943 19.735858 20.183851 21.090103 19.716334 20.07332
TSs209 19.292163 19.067477 19.206874 19.663049 19.465478 18.600214 21.057653 21.496209 19.318608 20.331282 20.926461 19.27341 20.165077 18.833568 19.166793 18.893775 19.046238 19.496662 0 20.373803 19.042503 19.578311 20.477453 20.310779 20.229135 19.31544 20.421748 19.744506 19.158942 19.964349 19.696591 20.070392 20.537547 18.883564 19.20979 20.898236 20.880416 19.188976 20.609051 20.118581 19.160621 20.821583 20.399069 21.165509 20.304776 19.701676 20.330079 19.178958 21.252578 19.809971 20.132942 18.986315 19.092297 19.563743 21.300832 19.603937 20.546819 19.837221 19.368586 23.684271 19.804775 20.889123 18.506132 20.214396 18.931664 19.255174 20.741711 20.994187 21.289538 20.837463 20.479398 18.493042 19.965935 19.498448 21.197478 17.855874 20.086191 18.837566 20.739433 21.001621 18.600049 19.411111 20.71812 19.021799 21.228311 20.297617 18.551832 18.998623 20.010113 20.419745 20.739515 19.029835 20.938957 20.788264 20.387315
TSs136 19.512579 18.522918 22.004139 20.009592 19.135171 20.657523 22.062661 20.446054 19.700026 19.76895 19.575183 24.3454 19.447242 19.110226 21.23559 18.450845 19.037808 18.846315 20.504267 0 20.660273 18.991107 18.943461 19.767245 19.173896 20.294381 20.488984 20.236449 20.377549 19.847456 22.184727 20.686135 19.818566 22.39018 20.25355 19.709382 19.109763 19.394706 20.725839 19.02183 20.753124 19.590898 19.013258 18.862072 20.885083 19.705058 18.615201 18.838816 19.539016 19.475856 20.800824 21.648357 18.8217 19.250114 19.627368 18.67159 20.485772 19.590733 20.200762 20.677378 20.508195 20.421873 21.721092 20.929188 19.897963 20.589895 20.591305 19.236513 19.962944 19.325815 19.456397 20.615185 19.259589 21.233525 19.430191 21.520732 19.677057 21.669649 19.730249 20.859598 20.803188 19.342787 20.100612 18.530781 20.930394 20.362493 20.909951 21.082261 19.835451 19.903008 21.968562 20.361453 18.630003 19.012781 20.169363
