Recipient num.regions TSs156A TSs361 TSs368 TSs49 TSs138B TSs22B TSs287 TSs383 TSs314A TSs30 TSs291 TSs157A TSs27 TSs363 TSs9 TSs151B TSs133 TSs155 TSs209 TSs136 TSs22A TSs357 TSs161 TSs11 TSs5A TSs131 TSs294 TSs378 TSs336 TSs111 TSs56 TSs3A TSs95 TSs2 TSs44C TSs201 TSs217 TSs168 TSs98 TSs116 TSs53 TSs63A TSs158 TSs269 TSs317 TSs49A TSs417 TSs195 TSs371 TSs23 TSs51 TSs59B TSs365 TSs224 TSs325 TSs119A TSs166 TSs297 TSs338 TSs293 TSs24 TSs334 TSs1A TSs266 TSs277 TSs60B TSs303 TSs120 TSs132 TSs78 TSs61 TSs60 TSs274 TSs10A TSs96 TSs282 TSs56A TSs296 TSs33 TSs311 TSs68 TSs104 TSs58 TSs358 TSs82 TSs15 TSs3 TSs4 TSs331 TSs314B TSs333 TSs7 TSs38 TSs10 TSs48
TSs291 4 3.331107 3.612807 4.131236 3.463471 3.714752 4.266477 5.240049 4.649557 3.949387 4.690311 0 3.826769 3.824118 3.174276 4.625186 3.539199 3.504736 6.610023 4.961323 4.112656 4.635072 4.225695 5.185133 5.130373 3.931599 4.774593 3.850143 4.785905 3.891783 4.579589 4.963501 4.078093 4.644439 5.007194 4.508795 4.526379 7.548473 5.327019 4.207603 4.403225 4.38324 6.436141 3.948408 3.659533 3.812514 4.597383 8.338518 3.847912 6.922408 3.861531 3.782419 3.526907 3.949012 3.858103 5.491851 4.451748 4.718862 4.598588 4.485346 4.067251 4.387553 6.67465 4.532081 3.869984 3.62402 5.443316 4.065889 4.823493 5.950457 5.090985 5.124777 4.250126 4.188982 4.22976 4.450467 4.098877 8.55564 4.897957 5.988594 5.68521 4.626045 4.563751 5.811116 3.612807 5.520797 4.202866 4.396117 4.284937 4.763803 5.073081 6.474482 4.189432 8.426879 4.133839 4.133839
TSs157A 4 3.161556 3.319199 5.666333 4.247067 3.76901 4.186906 6.08066 3.825902 4.095894 5.154756 3.747439 0 4.630659 3.28008 5.370307 3.27628 4.80122 3.831062 3.591894 8.527495 4.304732 3.433646 4.743443 4.265736 4.904777 4.988002 4.39697 4.337919 6.770827 3.956265 8.548383 5.049011 7.531322 3.666819 3.592561 4.140034 3.218265 5.68585 7.334826 4.652025 6.483888 4.465475 4.323494 3.545086 5.034325 4.185857 4.258471 3.368883 4.059228 5.020945 6.807991 5.296378 3.863811 3.952982 4.145909 3.942547 6.808437 3.38157 6.286257 4.266056 4.386836 4.665544 3.90144 8.280897 6.699788 3.878632 6.523984 3.810878 4.867723 3.916807 4.688113 4.489578 4.244597 4.464066 5.027578 5.095418 5.429843 4.260974 3.296909 3.454497 3.951409 5.016042 5.242934 3.319199 6.253798 3.826257 4.214507 5.521831 4.958783 4.191726 4.138836 4.068878 3.686513 3.494816 3.494816
TSs27 4 4.773391 5.469634 4.521911 4.379553 4.7559 4.946315 4.495313 4.435822 5.215646 4.641648 3.76859 4.759194 0 5.028377 4.971759 5.393724 5.167331 4.105127 3.886659 4.734619 4.723161 5.182327 4.570005 4.735589 4.545934 5.766341 4.519539 4.366445 4.26022 4.227259 4.612656 4.607089 4.035281 4.761478 5.368135 4.178282 4.137125 4.361089 4.015963 4.633601 4.957358 4.15257 4.390342 3.899652 4.110048 4.654053 3.795517 4.734883 3.920744 5.073993 5.241007 5.052229 5.464118 4.275927 4.19602 4.51634 3.542668 4.002274 4.792392 4.38612 6.745036 4.675011 4.591801 4.756413 4.646909 4.511954 4.491176 4.657408 3.782985 4.329389 4.156051 4.751368 4.352023 4.56969 4.492953 5.258446 4.189192 4.103751 3.978246 4.472113 5.247397 5.5633 4.16499 5.469634 4.031028 4.300636 4.417884 5.068252 5.343258 4.915548 4.513014 4.612909 4.295067 4.8073 4.8073
TSs363 4 10.409436 8.599081 3.607354 4.593946 7.983869 5.809307 3.931095 4.839993 4.168419 4.582593 3.023782 3.285533 4.946233 0 3.997533 8.479773 8.491742 8.271321 3.432009 3.724201 3.858781 5.779156 3.963712 3.941447 5.655027 4.101913 5.279639 3.825827 4.55081 6.563317 3.25391 3.79792 3.540141 4.481629 5.457854 3.816858 3.732923 3.455252 3.280027 4.099538 4.040269 4.53459 5.545602 6.355191 3.770546 5.059841 4.194646 8.98502 3.750191 4.453477 3.180623 4.589288 6.420719 6.362109 3.392023 4.734179 3.258803 5.204196 4.344412 4.299532 3.874025 3.877812 4.623381 3.587225 4.595967 4.595089 3.808199 4.414064 3.176604 3.640129 3.882338 4.235 5.271425 4.674362 3.560129 5.269145 3.318482 3.943529 4.303867 4.209317 4.605416 3.70107 3.327943 8.599081 3.5622 4.401216 3.907292 4.283314 3.933566 3.916432 3.957171 5.779611 3.412446 6.867061 6.867061
TSs9 4 3.878952 3.885888 7.0177 3.640834 4.095081 5.093744 5.214988 4.717157 4.852129 4.566949 4.512019 5.480947 4.920772 4.078862 0 4.177906 4.292128 4.085344 4.647629 5.128424 4.898778 4.81716 4.053313 4.851229 4.462737 4.944052 4.596718 4.436928 4.615154 4.004281 6.307621 6.080028 3.748653 5.488354 4.768003 4.64921 3.121003 4.376449 4.594347 3.865575 6.297021 4.099889 4.343017 4.167961 4.524296 4.621412 3.51688 4.297505 3.604052 4.36667 4.648492 6.109734 4.191211 4.312126 4.115992 4.245744 5.572557 4.085252 4.510059 4.539162 4.992244 4.103184 4.637527 4.883842 3.799256 4.411178 6.488902 4.346593 3.949364 3.66825 3.836938 6.877484 4.370227 5.073133 4.907015 8.601137 3.876948 4.823043 4.083068 6.406563 6.951615 4.914486 4.580474 3.885888 3.828867 5.207976 6.470183 4.860441 4.687444 6.956012 3.521416 4.032854 3.207127 4.222855 4.222855
TSs151B 4 9.55777 15.709972 3.304141 4.434144 7.418626 5.271949 3.624686 4.415157 4.343748 4.057304 3.361459 3.260375 5.192914 8.527968 4.108338 0 7.86967 6.32832 3.415436 3.590201 3.863958 9.088703 3.653306 3.611187 5.000143 4.610144 5.288434 3.540047 4.491481 6.499698 3.209174 3.676864 3.986033 4.42099 6.220883 3.402835 3.557958 3.186301 3.632351 3.603088 3.574271 3.827211 4.771852 6.71843 3.70849 4.583068 3.285958 8.177192 3.878806 4.747858 3.321034 4.779106 7.674939 6.199543 3.233413 4.651022 3.199033 4.440119 3.923141 4.301083 3.960297 3.820487 4.405133 3.610093 5.530967 4.06629 2.858447 4.664501 3.277918 3.227531 3.918756 4.50775 4.854148 4.813226 3.546722 4.563462 3.384681 4.111715 4.448526 3.599911 4.903841 3.700662 3.050917 15.709972 3.088992 4.729402 3.614719 4.277379 3.79711 4.299433 4.088316 5.527445 4.386399 6.135268 6.135268
TSs133 4 7.466277 7.949603 4.171685 5.023496 6.970434 5.276269 4.124327 3.758302 4.305223 4.267507 3.402839 4.733424 5.048703 8.523199 4.159405 7.873648 0 8.300812 3.608019 4.288817 4.13264 5.430788 3.878138 4.001184 4.789276 4.366128 4.578506 3.531026 4.063442 5.176699 4.369091 3.993027 3.846762 4.42226 5.331563 3.918371 4.216017 3.367219 3.601103 4.292456 4.258311 4.02124 5.323051 5.806417 4.294877 5.253294 3.610068 6.767122 3.603615 4.550593 3.962265 4.847908 6.194262 5.751464 3.536713 4.432165 3.133878 4.682565 4.494039 4.259477 4.170165 3.624396 4.919164 4.397058 4.244171 4.329078 3.987505 4.13791 3.625905 4.348186 4.182677 4.231224 5.293511 4.375126 3.766571 5.545495 3.683093 4.45514 4.140182 4.248073 5.128264 3.774033 3.637716 7.949603 3.609822 4.387365 4.146522 4.580835 4.299931 4.36416 3.605458 5.261982 4.038458 6.234535 6.234535
TSs155 4 5.992967 6.477466 4.149299 4.922843 6.244801 5.007085 4.113396 4.759249 3.494545 3.686813 6.065914 3.958756 4.178117 8.51075 4.149265 6.410108 8.438367 0 4.036397 3.775372 4.004295 5.210617 4.184324 3.940342 5.212517 3.605633 4.600597 4.342013 3.975811 6.005775 4.620583 3.677124 3.60516 4.220412 4.491771 4.479612 6.180996 4.020629 4.194251 3.09355 4.198266 5.556555 5.810815 5.68592 3.320302 5.234451 5.170017 6.805184 5.135679 4.135632 3.484062 4.626519 4.603752 5.488859 3.717226 4.277061 3.486419 4.356433 3.838319 4.065401 4.366732 3.914089 4.771756 3.522142 3.70652 4.250311 4.056542 4.367427 4.269796 4.643474 6.823002 3.93736 5.263137 4.297612 3.995657 4.873311 4.106119 4.564174 6.212681 3.933351 4.941929 3.718127 4.919148 6.477466 4.475835 4.308389 4.112805 3.863133 3.785267 4.149089 4.486786 4.90111 7.202331 5.414694 5.414694
TSs209 4 4.03786 3.464597 4.724898 6.165284 3.857388 4.09966 5.169704 4.580184 4.109931 4.418391 4.771917 3.628898 3.780571 3.649225 4.591766 3.456585 3.596722 4.009078 0 3.981051 4.219677 4.153655 5.788976 6.151451 4.085795 3.938109 4.509253 5.026269 3.469612 4.268161 3.555783 5.181098 4.4593 4.085893 4.1454 6.581352 4.671893 4.248813 4.397308 5.029072 3.861231 6.449405 4.837656 5.996096 5.93003 4.732579 5.196454 4.03088 5.196937 4.823432 5.327767 4.612234 4.110444 4.399342 7.100646 4.414793 5.096547 4.307345 3.585152 8.881838 4.698046 5.14927 4.062182 4.092149 3.499996 5.349046 6.323732 5.692208 6.032605 4.436223 5.073536 4.134905 4.494884 5.188655 5.195391 3.403534 4.448865 4.244996 5.389968 5.987307 3.681201 4.793504 5.485402 3.464597 4.884831 4.637535 3.606072 3.545263 4.488338 4.548596 4.70231 3.669611 5.147047 3.709077 3.709077
TSs136 4 3.884256 3.691647 5.116401 4.17548 4.083444 4.339861 8.095631 4.520778 4.402489 4.665102 4.049097 8.64557 4.549082 3.677503 5.022527 3.630643 4.258793 3.665089 3.933834 0 4.72459 3.838978 4.364028 4.486849 4.242152 4.566207 4.842642 4.136215 5.246972 3.940276 7.481339 4.387304 5.157563 5.094883 4.316563 5.093503 3.265231 5.3717 5.219585 4.00176 5.346439 4.135161 4.03635 3.876622 5.893067 4.387017 4.190973 3.903553 4.317242 5.276896 5.344052 5.036797 4.077156 4.588943 4.500393 4.108045 5.441284 4.390463 5.539755 5.216446 5.063451 5.241039 4.954719 6.197063 4.628217 4.44142 4.717924 4.06033 4.747101 3.960055 4.240169 4.379216 4.519904 4.877194 4.427918 5.111635 4.675887 4.881774 4.153056 4.170726 4.602207 4.302162 4.530992 3.691647 5.645218 4.010451 4.845189 5.071517 4.749396 4.338715 4.548526 4.817523 3.264641 4.016043 4.016043
