Recipient num.regions TSs156A TSs361 TSs368 TSs49 TSs138B TSs22B TSs287 TSs383 TSs314A TSs30 TSs291 TSs157A TSs27 TSs363 TSs9 TSs151B TSs133 TSs155 TSs209 TSs136 TSs22A TSs357 TSs161 TSs11 TSs5A TSs131 TSs294 TSs378 TSs336 TSs111 TSs56 TSs3A TSs95 TSs2 TSs44C TSs201 TSs217 TSs168 TSs98 TSs116 TSs53 TSs63A TSs158 TSs269 TSs317 TSs49A TSs417 TSs195 TSs371 TSs23 TSs51 TSs59B TSs365 TSs224 TSs325 TSs119A TSs166 TSs297 TSs338 TSs293 TSs24 TSs334 TSs1A TSs266 TSs277 TSs60B TSs303 TSs120 TSs132 TSs78 TSs61 TSs60 TSs274 TSs10A TSs96 TSs282 TSs56A TSs296 TSs33 TSs311 TSs68 TSs104 TSs58 TSs358 TSs82 TSs15 TSs3 TSs4 TSs331 TSs314B TSs333 TSs7 TSs38 TSs10 TSs48
TSs291 4 3.648439 3.793061 4.062528 3.677736 3.849776 4.10889 4.57322 4.308733 3.960135 4.311663 0 3.908941 3.89935 3.561448 4.297161 3.754126 3.73582 5.040649 4.418414 4.054247 4.295569 4.09545 4.544626 4.525666 3.958307 4.34218 3.91389 4.350184 3.934194 4.261114 4.428238 4.035284 4.307645 4.443383 4.224593 4.230372 5.467448 4.563268 4.100866 4.133464 4.175576 5.040441 3.967 3.810339 3.883387 4.28106 5.759083 3.917437 5.200079 3.918788 3.883783 3.755535 3.963771 3.919708 4.635229 4.205215 4.329768 4.283032 4.22627 4.016539 4.173935 5.087157 4.246606 3.925048 3.803978 4.613676 4.022774 4.384264 4.863171 4.496541 4.511266 4.107017 4.092027 4.107291 4.191022 4.021821 5.707284 4.415957 4.81749 4.752301 4.252835 4.271705 4.789202 3.793061 4.694041 4.08608 4.186364 4.13841 4.357688 4.46619 5.060429 4.091477 5.482852 4.060159 4.060159
TSs157A 4 3.550419 3.641339 4.747622 4.064258 3.882422 4.08826 4.914386 3.910107 4.04683 4.539161 3.870928 0 4.30122 3.615669 4.584109 3.61765 4.367862 3.90303 3.786706 5.771956 4.140939 3.701506 4.351534 4.125685 4.428501 4.450619 4.193133 4.159311 5.155592 3.96083 5.705289 4.472661 5.45634 3.824614 3.788298 4.046946 3.584152 4.765484 5.322958 4.299986 5.039776 4.224845 4.141271 3.762543 4.443318 4.079001 4.124726 3.663821 4.023086 4.478484 5.215038 4.556765 3.921854 3.97386 4.072208 3.966973 5.198497 3.650737 5.012466 4.105056 4.182936 4.319202 3.94685 5.744436 5.015729 3.912909 5.08946 3.899708 4.381441 3.945522 4.313303 4.236851 4.104325 4.225041 4.472003 4.405117 4.643672 4.119074 3.600997 3.710919 3.93326 4.478526 4.57575 3.641339 4.997662 3.894277 4.099308 4.674888 4.44876 4.073753 4.066855 4.033429 3.694192 3.722631 3.722631
TSs27 4 4.362713 4.659911 4.24866 4.172214 4.360901 4.438781 4.229723 4.199496 4.564341 4.306607 3.86866 4.335445 0 4.478843 4.447599 4.626843 4.541787 4.046091 3.933826 4.33862 4.340429 4.533116 4.260385 4.343369 4.261315 4.786388 4.251335 4.161963 4.126044 4.111771 4.285968 4.286343 4.011097 4.357134 4.630597 4.086291 4.019437 4.170492 3.996276 4.275945 4.449952 4.066394 4.189967 3.935903 4.052077 4.303201 3.88876 4.347392 3.940923 4.503506 4.47932 4.479328 4.667235 4.13026 4.093862 4.245888 3.741749 3.990337 4.37582 4.171531 5.184367 4.316342 4.273152 4.353235 4.289219 4.241592 4.206485 4.297377 3.882347 4.116955 4.063862 4.352424 4.164417 4.273044 4.22653 4.558174 4.088653 4.031026 3.970453 4.199075 4.557162 4.708232 4.073742 4.659911 4.014622 4.134418 4.195553 4.494647 4.594013 4.411479 4.24171 4.28276 4.084659 4.364801 4.364801
TSs363 4 6.402372 5.849841 3.796532 4.277204 5.648664 4.813129 3.964788 4.381582 4.082776 4.27068 3.477707 3.620183 4.444286 0 3.995838 5.809718 5.827091 5.650817 3.704044 3.858871 3.92873 4.778993 3.978316 3.958624 4.744575 4.017554 4.589862 3.884326 4.265472 5.116415 3.607623 3.893995 3.747832 4.216745 4.661157 3.906515 3.864113 3.708788 3.620566 4.027635 4.01998 4.257136 4.70638 5.005564 3.877183 4.495778 4.08122 5.955051 3.856345 4.219968 3.566064 4.284347 5.041514 5.028532 3.67716 4.351439 3.609707 4.554045 4.160309 4.14265 3.935716 3.933417 4.297158 3.777771 4.263507 4.281011 3.899723 4.189283 3.557058 3.802839 3.93239 4.114895 4.589015 4.319217 3.773504 4.589023 3.643197 3.968749 4.142473 4.103074 4.288983 3.843314 3.648188 5.849841 3.773495 4.193628 3.950775 4.106077 3.959771 3.957722 3.969912 4.806841 3.688633 5.235504 5.235504
TSs9 4 3.911744 3.931712 5.27632 3.813457 4.01131 4.467437 4.553043 4.31579 4.401894 4.253184 4.230257 4.546037 4.416524 3.997963 0 4.066871 4.063927 4.014798 4.259486 4.484793 4.390481 4.379006 4.007426 4.377018 4.216589 4.442365 4.285208 4.183411 4.290993 3.979206 5.007497 4.835851 3.871162 4.590508 4.348517 4.287723 3.528285 4.17647 4.237468 3.927891 5.008556 4.029191 4.164433 4.056331 4.250218 4.242851 3.735188 4.110927 3.782724 4.176648 4.310796 4.872836 4.079089 4.139108 4.042177 4.111656 4.629634 4.026737 4.227733 4.24604 4.44612 4.050577 4.254048 4.354561 3.888973 4.164888 4.873984 4.126553 3.971746 3.823349 3.899171 5.239976 4.175695 4.497243 4.380809 5.649772 3.936933 4.362687 4.015992 5.001456 5.178327 4.373155 4.262612 3.931712 3.907618 4.551551 5.063405 4.392799 4.321524 5.252436 3.746867 3.997963 3.541339 4.072591 4.072591
TSs151B 4 6.117338 7.922362 3.635329 4.211381 5.44603 4.592096 3.807581 4.197769 4.165779 4.007523 3.665681 3.60781 4.541439 5.824712 4.047751 0 5.596334 4.986404 3.696031 3.789492 3.929285 6.028194 3.822574 3.793879 4.472019 4.262383 4.584516 3.757541 4.23767 5.043255 3.582721 3.824026 3.966312 4.18573 4.980302 3.681588 3.767033 3.569938 3.809741 3.765633 3.779895 3.912555 4.365425 5.120025 3.832018 4.268928 3.625247 5.680866 3.931719 4.352254 3.639483 4.371273 5.535088 4.927959 3.592787 4.303421 3.577095 4.210322 3.956858 4.144926 3.975175 3.907354 4.193908 3.781893 4.675245 4.032615 3.380479 4.293915 3.61592 3.58801 3.930661 4.244699 4.404154 4.386767 3.752874 4.270299 3.673197 4.048081 4.204015 3.794517 4.422451 3.840556 3.48985 7.922362 3.513828 4.349344 3.802269 4.131398 3.896399 4.146012 4.03821 4.700891 4.187936 4.952157 4.952157
TSs133 4 5.451388 5.624447 4.081952 4.435747 5.276711 4.593548 4.061652 3.876886 4.140452 4.099623 3.680914 4.340345 4.492427 5.83844 4.078104 5.597502 0 5.663954 3.78855 4.141602 4.065642 4.660762 3.93618 3.999017 4.375394 4.152522 4.278424 3.744378 4.030986 4.546015 4.180432 3.984913 3.913854 4.186636 4.606442 3.958702 4.106142 3.664133 3.787547 4.136217 4.124949 4.007861 4.606677 4.760668 4.144684 4.583159 3.798905 5.187002 3.796467 4.265589 3.98087 4.399123 4.97761 4.791677 3.759256 4.210365 3.53964 4.324267 4.239671 4.125539 4.08384 3.801672 4.433956 4.186413 4.120147 4.155565 3.971113 4.053553 3.797722 4.160401 4.086254 4.100642 4.600344 4.179294 3.862313 4.687105 3.837971 4.216259 4.067231 4.121397 4.522328 3.881773 3.811078 5.624447 3.799423 4.18267 4.070718 4.263835 4.145604 4.17736 3.793544 4.577004 4.010873 4.991421 4.991421
TSs155 4 4.84389 5.047875 4.060862 4.412073 4.949484 4.459962 4.05436 4.353927 3.738123 3.832809 4.875573 3.957955 4.086018 5.741878 4.068721 5.02093 5.701396 0 4.011296 3.880604 3.99796 4.552675 4.087572 3.96933 4.521404 3.789726 4.273078 4.158286 3.980606 4.889717 4.252616 3.822239 3.792511 4.104215 4.236386 4.216792 4.891636 4.005998 4.072996 3.516402 4.090873 4.667063 4.815876 4.675185 3.643788 4.570915 4.505266 5.122563 4.476065 4.063247 3.731521 4.299966 4.264219 4.667021 3.853708 4.131531 3.731443 4.172317 3.913071 4.032537 4.175256 3.920699 4.366374 3.742914 3.84838 4.122044 3.990844 4.16589 4.095957 4.281025 5.016588 3.96805 4.579193 4.143191 3.993593 4.403986 4.044097 4.258218 4.952135 3.966138 4.445361 3.853834 4.339418 5.047875 4.189895 4.144042 4.054602 3.922967 3.891032 4.069788 4.20862 4.426725 5.183554 4.606148 4.606148
TSs209 4 3.971718 3.699006 4.32586 4.815035 3.914782 4.044823 4.522472 4.260615 4.039784 4.197444 4.363825 3.768523 3.883422 3.790367 4.257297 3.692199 3.760295 4.002133 0 3.976048 4.086583 4.035647 4.794357 4.953365 4.030563 3.960476 4.236643 4.480152 3.71361 4.123051 3.748346 4.549372 4.220485 4.009916 4.063798 5.090505 4.297347 4.093568 4.187988 4.453697 3.927978 5.073179 4.393257 4.799338 4.821581 4.350182 4.521866 3.955697 4.519118 4.386093 4.610142 4.273352 4.029938 4.158071 5.300487 4.198547 4.498443 4.133811 3.777402 5.752054 4.327629 4.4804 4.014449 4.042575 3.737166 4.574021 5.011641 4.765509 4.88312 4.198579 4.48515 4.052318 4.214455 4.486122 4.534487 3.685175 4.215252 4.113017 4.627991 4.840614 3.828501 4.365697 4.557535 3.699006 4.408409 4.278963 3.791627 3.757585 4.206422 4.252655 4.328939 3.824055 4.515047 3.82112 3.82112
TSs136 4 3.931362 3.842004 4.519413 4.057032 4.027362 4.160823 5.528994 4.252189 4.192618 4.31052 4.017329 5.714868 4.263768 3.829006 4.473065 3.810238 4.125941 3.820493 3.966337 0 4.33958 3.914709 4.177061 4.233424 4.114681 4.261335 4.389061 4.052796 4.547171 3.959792 5.421413 4.18243 4.518853 4.507165 4.154348 4.475291 3.593225 4.622047 4.561514 3.988082 4.614685 4.059827 4.012271 3.926574 4.772629 4.178827 4.08438 3.933438 4.138994 4.56484 4.616579 4.478731 4.025712 4.252474 4.230392 4.045127 4.658878 4.149596 4.701611 4.545852 4.47889 4.525067 4.447694 4.930808 4.289867 4.212558 4.326707 4.015286 4.35172 3.974868 4.105563 4.183349 4.23624 4.409645 4.207026 4.513715 4.31097 4.413638 4.067798 4.081852 4.289822 4.148255 4.256856 3.842004 4.730201 3.985919 4.401942 4.503309 4.352473 4.15686 4.259329 4.371481 3.565441 3.98622 3.98622
