n_sub,mean,median,std,count
40,0.7401217095304354,0.761306365233738,0.18829422101763157,164
60,0.7175651906968882,0.726039016115352,0.11653967119166787,1225
80,0.7566313078588475,0.7587319149315856,0.08401734819150994,1225
95,1.0,1.0,0.0,1225
