n_sub,rep_i,rep_j,n_shared,ari_k24
60,1,28,38,0.42500766792761474
60,1,29,36,0.3148810776678594
60,1,30,36,0.6378553511705686
60,1,31,40,0.6857239799813385
60,1,32,38,0.68935041979673
60,1,33,37,0.359961559252808
60,1,34,38,0.42276111232756736
60,1,35,38,0.6677625495715783
60,1,36,39,0.5684333139196273
60,1,37,37,0.6151560178306092
60,1,38,39,0.4901765920036694
60,1,39,38,0.726039016115352
60,1,40,37,0.3711760707002039
60,1,41,39,0.694313567970124
60,1,42,38,0.6538272145319254
60,1,43,34,0.7215880893300248
60,1,44,40,0.5020570293658675
60,1,45,37,0.6710879074361507
60,1,46,39,0.573612823674476
60,1,47,37,0.6692272034964571
60,1,48,37,0.5081967213114754
60,1,49,38,0.48261269549218033
60,2,3,38,0.6091772151898734
60,2,4,38,0.7122832148155728
60,2,5,35,0.7339089751969452
60,2,6,39,0.6828589771025038
60,2,7,37,0.7768203360620423
60,2,8,41,0.905952517490538
60,2,9,31,0.7008042895442359
60,2,10,42,0.641110775731965
60,2,11,36,0.8192771084337349
60,2,12,42,0.6033679684700824
60,2,13,36,0.7834753918064339
60,2,14,36,0.6387200367014566
60,2,15,39,0.7156234409179875
60,2,16,39,0.5448402948402948
60,2,17,42,0.7740824559677261
60,2,18,37,0.6837606837606838
60,2,19,37,0.6017880530721486
60,2,20,36,0.7891457700427372
60,2,21,32,0.5382203057624461
60,2,22,39,0.7772991384492086
60,2,23,39,0.6947854024219458
60,2,24,36,0.7752481027437245
60,2,25,33,0.757445831100222
60,2,26,39,0.7518725436633122
60,2,27,36,0.5106796116504855
60,2,28,37,0.5727058239165529
60,2,29,37,0.6397950469684031
60,2,30,39,0.7001699441612041
60,2,31,39,0.767174937621292
60,2,32,40,0.6982758620689655
60,2,33,35,0.6960963152134257
60,2,34,37,0.7250811822334746
60,2,35,41,0.8229897463572585
60,2,36,32,0.8326334733053389
60,2,37,38,0.8195893926432849
60,2,38,35,0.689807976366322
60,2,39,41,0.582909460834181
60,2,40,38,0.9329416029150848
60,2,41,37,0.6926999854291126
60,2,42,39,0.7655805124960455
60,2,43,37,0.6492890995260664
60,2,44,43,0.7193784683684795
60,2,45,37,0.8638259589433221
60,2,46,37,0.7445565586829528
60,2,47,40,0.7785079712790556
60,2,48,37,0.5634377276037873
60,2,49,41,0.7516489433301925
60,3,4,41,0.7412138961825894
60,3,5,39,0.7223679280629449
60,3,6,39,0.6403785488958991
60,3,7,38,0.7351905533991713
60,3,8,36,0.6365105008077544
60,3,9,35,0.7875433584982656
60,3,10,35,0.7630174451023606
60,3,11,40,0.6380090497737556
60,3,12,39,0.6519648408669008
60,3,13,34,0.7182674199623352
60,3,14,37,0.7401900041305246
60,3,15,37,0.6188589540412044
60,3,16,44,0.720849844026642
60,3,17,37,0.7889160554197229
60,3,18,38,0.8003327111904569
60,3,19,37,0.7046854214908607
60,3,20,38,0.8254187246488783
60,3,21,42,0.6248774643285046
60,3,22,37,0.8960430812456099
60,3,23,40,0.8845726970033296
60,3,24,37,0.7601169541082249
60,3,25,38,0.7286238177957923
60,3,26,38,0.8121024215534292
60,3,27,38,0.5705920761631949
60,3,28,39,0.7863419075802413
60,3,29,37,0.5835209365150833
60,3,30,40,0.7338220424671386
60,3,31,34,0.6887440183091754
60,3,32,37,0.9638789456557111
60,3,33,44,0.5899964858849713
60,3,34,35,0.6716753682244577
60,3,35,38,0.7085845643653904
60,3,36,39,0.6948905109489051
60,3,37,40,0.8607284970921335
60,3,38,39,0.5376263571695994
60,3,39,36,0.6728971962616822
60,3,40,36,0.680235509085372
60,3,41,41,0.7968900509150957
60,3,42,36,0.7493823541727733
60,3,43,35,0.8979124964255075
60,3,44,37,0.737926593689633
60,3,45,43,0.8167914593497899
60,3,46,37,0.6616885096007314
60,3,47,41,0.8501063546929009
60,3,48,39,0.6830624465355004
60,3,49,36,0.7479663955194026
60,4,5,38,0.7836637798390996
60,4,6,39,0.887398241615109
