DateTime,RunTime,ID,Tag,Alg,Classes,FeatureNum,BalancedSize,CVfold,BalancedRuns,AUCROC_val,AUCROC_val_sd,AUCROC_val_se,AUCPRc_val,AUCPRc_val_sd,AUCPRc_val_se,Ac_val,Ac_val_sd,Ac_val_se,F1_val,F1_val_sd,F1_val_se,Pr_val,Pr_val_sd,Pr_val_se,TPR_val,TPR_val_sd,TPR_val_se,FPR_val,FPR_val_sd,FPR_val_se,FNR_val,FNR_val_sd,FNR_val_se,TP_val,TP_val_sd,TP_val_se,TN_val,TN_val_sd,TN_val_se,FP_val,FP_val_sd,FP_val_se,FN_val,FN_val_sd,FN_val_se,Pr_test,Ac_test,F1_test,AUCROC_test,AUCROC_test_sd,AUCROC_test_se,AUCPRc_test,AUCPRc_test_sd,AUCPRc_test_se,trait,alg,status,returncode
2026-06-15 10:48:37,97.65493035316467,Tannin_RF,Tannin,RF,"[1, 0]",1625,15,5,20,0.42977777777777765,0.14988126988295902,0.03351447080122883,0.4895325205701918,0.09806126854741685,0.021927166243188613,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.7615384615384616,0.27724340447600154,0.061993509872180885,0.5424621212121212,0.39108546215509,0.08744936783907026,Tannin,RF,ok,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tannin,GB,fail,1.0
2026-06-15 10:48:48,8.708067178726196,Tannin_LogReg,Tannin,LogReg,"[1, 0]",1625,15,5,20,0.44688888888888895,0.0986574069729044,0.022060466847527598,0.5157462488618015,0.06919846152021969,0.015473246389761466,0.49333333333333335,0.019999999999999993,0.004472135954999578,0.658225108225108,0.0171651981756769,0.0038382549968068924,0.49648786717752236,0.010433336265376777,0.0023329649121496257,0.9766666666666668,0.03815174380753198,0.008530989261379816,0.99,0.02380476142847616,0.005322906474223769,0.023333333333333334,0.038151743807531995,0.008530989261379818,14.65,0.5722761571129799,0.12796483892069727,0.15,0.3570714214271425,0.07984359711335655,14.85,0.3570714214271425,0.07984359711335655,0.35,0.5722761571129799,0.12796483892069727,0.482759,0.466667,0.636364,0.7923076923076924,0.15969645763097456,0.03570921350287741,0.39797619047619043,0.2793903561120809,0.062473582852448674,Tannin,LogReg,ok,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tannin,SVMrbf,fail,1.0
2026-06-15 10:50:28,98.20627212524414,Phenol_RF,Phenol,RF,"[1, 0]",1625,15,5,20,0.42055555555555557,0.1059113885388263,0.02368250643642077,0.535440680672577,0.06173985161730991,0.013805450513705528,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.51125,0.13145222516184346,0.029393611125549026,0.3715383227883228,0.1012896928503636,0.022649063863348744,Phenol,RF,ok,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phenol,GB,fail,1.0
2026-06-15 10:50:40,9.240131139755249,Phenol_LogReg,Phenol,LogReg,"[1, 0]",1625,15,5,20,0.4024444444444445,0.10160660034942563,0.02271992653439696,0.5310631656774689,0.07787506595136043,0.017413394121952124,0.4866666666666667,0.030550504633038926,0.00683130051063973,0.6496577066344507,0.0252428278099808,0.005644467892743921,0.4929095967889071,0.016557445597842627,0.0037023573890530757,0.9533333333333334,0.052068331172711015,0.011642832797715316,0.9800000000000001,0.03711842908553348,0.00829993306532582,0.04666666666666667,0.05206833117271103,0.01164283279771532,14.3,0.7810249675906654,0.17464249196572978,0.3,0.5567764362830021,0.1244989959798873,14.7,0.5567764362830022,0.12449899597988733,0.7,0.7810249675906654,0.17464249196572978,0.482759,0.466667,0.636364,0.4325,0.11070794912742264,0.024755049989850553,0.3323340895215896,0.06235668076334675,0.01394337770380968,Phenol,LogReg,ok,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phenol,SVMrbf,fail,1.0
2026-06-15 10:52:22,99.8422429561615,Flavonoid_RF,Flavonoid,RF,"[1, 0]",1625,15,5,20,0.43022222222222223,0.12272905015963588,0.027443049897092724,0.5182683410070982,0.09158238728433628,0.020478444350948827,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.46060606060606063,0.1608774151325304,0.03597328362807913,0.2783878158878159,0.09421700239129305,0.021067562198319147,Flavonoid,RF,ok,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavonoid,GB,fail,1.0
