DateTime,RunTime,ID,Tag,Alg,Classes,FeatureNum,BalancedSize,CVfold,BalancedRuns,AUCROC_val,AUCROC_val_sd,AUCROC_val_se,AUCPRc_val,AUCPRc_val_sd,AUCPRc_val_se,Ac_val,Ac_val_sd,Ac_val_se,F1_val,F1_val_sd,F1_val_se,Pr_val,Pr_val_sd,Pr_val_se,TPR_val,TPR_val_sd,TPR_val_se,FPR_val,FPR_val_sd,FPR_val_se,FNR_val,FNR_val_sd,FNR_val_se,TP_val,TP_val_sd,TP_val_se,TN_val,TN_val_sd,TN_val_se,FP_val,FP_val_sd,FP_val_se,FN_val,FN_val_sd,FN_val_se,Pr_test,Ac_test,F1_test,AUCROC_test,AUCROC_test_sd,AUCROC_test_se,AUCPRc_test,AUCPRc_test_sd,AUCPRc_test_se,trait,algo,status
2026-06-16 01:46:22,57.12377381324768,Antioxidant_GB,Antioxidant,GB,"[1, 0]",1625.0,15.0,5.0,20.0,0.5204444444444445,0.11209255435014737,0.025064657129851925,0.5759736844303761,0.08465993892249905,0.018930537840168817,0.505,0.09847447497814964,0.02201956200997447,0.585249821948114,0.08914227044146361,0.01993281763757828,0.5029101636667426,0.0727586134878945,0.01626932057075652,0.7033333333333334,0.1219744964235466,0.027274326552435516,0.6933333333333332,0.11430952132988166,0.025560386016907754,0.2966666666666667,0.12197449642354657,0.027274326552435512,10.55,1.8296174463531985,0.40911489828653264,4.6,1.7146428199482247,0.38340579025361626,10.4,1.7146428199482247,0.38340579025361626,4.45,1.8296174463531987,0.4091148982865327,0.500000,0.500000,0.594595,0.4374999999999999,0.1389756673346493,0.031075903937867286,0.6211542103729604,0.1078097830791649,0.02410700036045193,Antioxidant,GB,OK
2026-06-15 10:54:21,8.797218084335327,Antioxidant_LogReg,Antioxidant,LogReg,"[1, 0]",1625.0,15.0,5.0,20.0,0.6471111111111112,0.09429556893612581,0.021085130211819483,0.6764601361119957,0.09900689744675072,0.022138615293228494,0.565,0.05423713365090992,0.012127791774817593,0.6567548722811881,0.04412963277634881,0.00986768587100187,0.5424455110107285,0.0357842258184694,0.008001596145230062,0.8333333333333334,0.06497862896539311,0.014529663145135582,0.7033333333333333,0.06823163163486241,0.015257056655127745,0.16666666666666669,0.0649786289653931,0.014529663145135579,12.5,0.9746794344808963,0.21794494717703367,4.45,1.023474474522936,0.22885584982691615,10.55,1.023474474522936,0.22885584982691615,2.5,0.9746794344808963,0.21794494717703367,0.520000,0.533333,0.65,0.42708333333333337,0.1188595985466326,0.026577814212860568,0.5760155469530469,0.07012574458677738,0.01568059318688221,Antioxidant,LogReg,OK
2026-06-15 10:54:10,94.56997513771057,Antioxidant_RF,Antioxidant,RF,"[1, 0]",1625.0,15.0,5.0,20.0,0.5576666666666668,0.08791262497292202,0.019657860551989922,0.5887081334623091,0.09096004808610418,0.020339285075717858,0.5116666666666666,0.054031883591491074,0.012081896466292952,0.6552131721558834,0.034240197784124016,0.007656340980833896,0.5071208791208791,0.030438392291432477,0.006806231428944861,0.9266666666666667,0.04666666666666666,0.010434983894999018,0.9033333333333333,0.08293236869749822,0.01854424139426817,0.07333333333333333,0.04666666666666667,0.010434983894999018,13.9,0.7000000000000001,0.15652475842498528,1.45,1.2439855304624727,0.2781636209140224,13.55,1.243985530462473,0.27816362091402247,1.1,0.7000000000000001,0.15652475842498528,0.518519,0.533333,0.666667,0.39479166666666665,0.09782242805489728,0.021873759885483283,0.5911881000943501,0.07047638653056872,0.01575899910909022,Antioxidant,RF,OK
2026-06-16 01:46:30,6.990894079208374,Antioxidant_SVMrbf,Antioxidant,SVMrbf,"[1, 0]",1625.0,15.0,5.0,20.0,0.49866666666666665,0.005811865258054221,0.0012995725793078594,0.5,0.0,0.0,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.5,0.0,0.0,0.5714285714285714,0.0,0.0,Antioxidant,SVMrbf,OK
2026-06-15 12:24:52,942.526419878006,Crude_Protein_GB,Crude_Protein,GB,"[1, 0]",1625.0,15.0,5.0,20.0,0.5973333333333334,0.1402671173066976,0.031364680930571306,0.6042636021958175,0.12559522021154682,0.028083945004207418,0.5733333333333331,0.10466878978738385,0.023404652908722606,0.6424853734079242,0.08596841159483135,0.0192231212243724,0.5548733196627933,0.0771297493005104,0.017246736252345813,0.7666666666666667,0.10852547064066473,0.0242670329642684,0.62,0.13515423288475528,0.03022140521771503,0.2333333333333334,0.10852547064066471,0.024267032964268395,11.5,1.6278820596099706,0.36400549446402586,5.7,2.027313493271329,0.4533210782657254,9.3,2.0273134932713295,0.4533210782657255,3.5,1.6278820596099706,0.36400549446402586,0.650000,0.700000,0.742857,0.4288888888888889,0.09508930175704296,0.02126261426617382,0.4176926684426684,0.08849159499932428,0.019787322185586955,Crude_Protein,GB,OK
2026-06-15 12:25:03,9.70442819595337,Crude_Protein_LogReg,Crude_Protein,LogReg,"[1, 0]",1625.0,15.0,5.0,20.0,0.6137777777777778,0.11436912300221723,0.025573713355999256,0.6341808387544688,0.10943375530230431,0.024470131588903047,0.5666666666666667,0.09006170724070864,0.020138409955990953,0.647552211058403,0.0666826201544729,0.014910687158319894,0.54883457408343,0.06463920845736579,0.01445376641224492,0.7933333333333334,0.08406346808612329,0.018797162906495583,0.6599999999999999,0.13148721948877345,0.02940143609493326,0.2066666666666667,0.08406346808612329,0.018797162906495583,11.9,1.2609520212918492,0.2819574435974337,5.1,1.972308292331602,0.4410215414239989,9.9,1.972308292331602,0.4410215414239989,3.1,1.2609520212918492,0.2819574435974337,0.631579,0.666667,0.705882,0.428888888888889,0.07669081745216622,0.017148588107307086,0.3827242757242757,0.0638149393330296,0.014269454232867927,Crude_Protein,LogReg,OK
2026-06-15 12:09:08,3914.5141127109528,Crude_Protein_RF,Crude_Protein,RF,"[1, 0]",1625.0,15.0,5.0,20.0,0.5744444444444445,0.10163964425336512,0.022727315375942025,0.5851599475263354,0.0957219839690456,0.021404086309593107,0.4916666666666667,0.01787300882460601,0.0039965262694272655,0.6560253699788583,0.013648513306296066,0.003051900354468841,0.4957535121328225,0.009396470899061283,0.0021011147678899594,0.9700000000000001,0.03316624790355399,0.007416198487095661,0.9866666666666667,0.03399346342395189,0.007601169500660917,0.03,0.033166247903554,0.007416198487095662,14.55,0.49749371855331004,0.11124297730643495,0.2,0.5099019513592785,0.1140175425099138,14.8,0.5099019513592785,0.1140175425099138,0.45,0.49749371855331004,0.11124297730643495,0.482759,0.466667,0.636364,0.41222222222222227,0.0967305025493861,0.021629597919814402,0.3746807359307359,0.06802215532941172,0.01521021632926142,Crude_Protein,RF,OK
2026-06-15 12:25:11,6.904224157333374,Crude_Protein_SVMrbf,Crude_Protein,SVMrbf,"[1, 0]",1625.0,15.0,5.0,20.0,0.5128888888888888,0.0257777777777778,0.0057640863419994625,0.5112957157784743,0.02266471651176052,0.005067984681105844,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.5,0.0,0.0,0.3571428571428571,5.551115123125783e-17,1.2412670766236365e-17,Crude_Protein,SVMrbf,OK
2026-06-16 01:45:17,56.95462918281555,Flavonoid_GB,Flavonoid,GB,"[1, 0]",1625.0,15.0,5.0,20.0,0.40444444444444444,0.11984351937339986,0.026797825598173508,0.4904536928777194,0.08992624362755017,0.020108119371240945,0.42833333333333334,0.0950292352676562,0.02124918299082997,0.5321286890946334,0.08421656762747158,0.018831397004673463,0.4494145442658029,0.0681371413632197,0.015235927988067194,0.6533333333333332,0.11274356350191843,0.025210227201585382,0.7966666666666666,0.09303523824635244,0.020803311702173238,0.3466666666666667,0.11274356350191843,0.025210227201585382,9.8,1.6911534525287764,0.3781534080237807,3.05,1.3955285736952863,0.3120496755325985,11.95,1.3955285736952863,0.3120496755325985,5.2,1.6911534525287764,0.3781534080237807,0.500000,0.500000,0.571429,0.5196969696969697,0.14604520225576867,0.032656700003160434,0.35185712435712435,0.11628210676570681,0.026001469529500863,Flavonoid,GB,OK
2026-06-15 10:52:33,9.011133909225464,Flavonoid_LogReg,Flavonoid,LogReg,"[1, 0]",1625.0,15.0,5.0,20.0,0.4522222222222222,0.11461906850170059,0.025629602868750746,0.5325484035119032,0.09277610420130311,0.020745367568171757,0.4883333333333334,0.032102267140430366,0.007178285155786008,0.6415093627302929,0.02266637547401797,0.00506835563634382,0.49407384601350113,0.018232228459369507,0.004076850221645648,0.9166666666666666,0.05527707983925666,0.012360330811826102,0.9400000000000001,0.07272474743090476,0.01626174789020062,0.08333333333333334,0.055277079839256664,0.012360330811826104,13.75,0.82915619758885,0.18540496217739155,0.9,1.0908712114635715,0.24392621835300934,14.1,1.0908712114635715,0.24392621835300934,1.25,0.82915619758885,0.18540496217739155,0.480000,0.466667,0.6,0.41515151515151516,0.1463043358130098,0.03271464402808469,0.2433568746068746,0.05056658530588315,0.011307032213399671,Flavonoid,LogReg,OK
