DateTime,RunTime,ID,Tag,Alg,Classes,FeatureNum,BalancedSize,CVfold,BalancedRuns,AUCROC_val,AUCROC_val_sd,AUCROC_val_se,AUCPRc_val,AUCPRc_val_sd,AUCPRc_val_se,Ac_val,Ac_val_sd,Ac_val_se,F1_val,F1_val_sd,F1_val_se,Pr_val,Pr_val_sd,Pr_val_se,TPR_val,TPR_val_sd,TPR_val_se,FPR_val,FPR_val_sd,FPR_val_se,FNR_val,FNR_val_sd,FNR_val_se,TP_val,TP_val_sd,TP_val_se,TN_val,TN_val_sd,TN_val_se,FP_val,FP_val_sd,FP_val_se,FN_val,FN_val_sd,FN_val_se,Pr_test,Ac_test,F1_test,AUCROC_test,AUCROC_test_sd,AUCROC_test_se,AUCPRc_test,AUCPRc_test_sd,AUCPRc_test_se,trait,alg,status
2026-06-16 01:43:04,57.30896997451782,Tannin_GB,Tannin,GB,"[1, 0]",1625,15,5,20,0.46422222222222215,0.09912680493585034,0.022165427422892302,0.508497421111345,0.06784914862814444,0.015171530854801756,0.47833333333333333,0.07323857514239944,0.01637664325936315,0.5785445118339856,0.05698749304753874,0.012742790832159326,0.48664226634878804,0.05157254590308188,0.011531971841201935,0.7166666666666666,0.08399735445569438,0.01878237944930775,0.76,0.10832051206181281,0.024221202832779933,0.2833333333333333,0.08399735445569435,0.018782379449307742,10.75,1.2599603168354152,0.2817356917396161,3.6,1.624807680927192,0.36331804249169897,11.4,1.624807680927192,0.36331804249169897,4.25,1.2599603168354152,0.2817356917396161,0.520000,0.533333,0.65,0.85,0.2056523751583823,0.04598526905884319,0.5863095238095238,0.3535107972705333,0.07904741734770596,Tannin,GB,ok
2026-06-16 01:43:12,6.986758232116699,Tannin_SVMrbf,Tannin,SVMrbf,"[1, 0]",1625,15,5,20,0.4966666666666667,0.014529663145135577,0.003248931448269654,0.5,0.0,0.0,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.5,0.0,0.0,0.07142857142857142,0.0,0.0,Tannin,SVMrbf,ok
2026-06-16 01:44:11,58.57612991333008,Phenol_GB,Phenol,GB,"[1, 0]",1625,15,5,20,0.40800000000000003,0.15082063584778735,0.033724519416539415,0.5416898507542327,0.09290392367171314,0.020773948870640244,0.41833333333333333,0.12040441114104675,0.026923244810221354,0.520640654960673,0.1046288041479771,0.023395711847938875,0.4424488348544412,0.0864240316763318,0.0193250009717873,0.6366666666666666,0.1437204075820673,0.032136860110747865,0.8,0.1414213562373095,0.03162277660168379,0.36333333333333334,0.14372040758206733,0.03213686011074787,9.55,2.1558061137310096,0.482052901661218,3.0,2.1213203435596424,0.47434164902525683,12.0,2.1213203435596424,0.47434164902525683,5.45,2.15580611373101,0.4820529016612181,0.500000,0.500000,0.571429,0.45125000000000004,0.1421871565929919,0.03179401476693373,0.3523077616827617,0.08466599773426303,0.01893189263166553,Phenol,GB,ok
2026-06-16 01:44:19,7.01977801322937,Phenol_SVMrbf,Phenol,SVMrbf,"[1, 0]",1625,15,5,20,0.4613333333333333,0.024549270186029294,0.005489383693397041,0.4833333333333333,0.012093738189714575,0.0027042420694287036,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.5,0.0,0.0,0.2857142857142857,0.0,0.0,Phenol,SVMrbf,ok
2026-06-16 01:45:17,56.95462918281555,Flavonoid_GB,Flavonoid,GB,"[1, 0]",1625,15,5,20,0.40444444444444444,0.11984351937339986,0.026797825598173508,0.4904536928777194,0.08992624362755017,0.020108119371240945,0.42833333333333334,0.0950292352676562,0.02124918299082997,0.5321286890946334,0.08421656762747158,0.018831397004673463,0.4494145442658029,0.0681371413632197,0.015235927988067194,0.6533333333333332,0.11274356350191843,0.025210227201585382,0.7966666666666666,0.09303523824635244,0.020803311702173238,0.3466666666666667,0.11274356350191843,0.025210227201585382,9.8,1.6911534525287764,0.3781534080237807,3.05,1.3955285736952863,0.3120496755325985,11.95,1.3955285736952863,0.3120496755325985,5.2,1.6911534525287764,0.3781534080237807,0.500000,0.500000,0.571429,0.5196969696969697,0.14604520225576867,0.032656700003160434,0.35185712435712435,0.11628210676570681,0.026001469529500863,Flavonoid,GB,ok
2026-06-16 01:45:24,6.7639570236206055,Flavonoid_SVMrbf,Flavonoid,SVMrbf,"[1, 0]",1625,15,5,20,0.4953333333333333,0.015362291495737215,0.0034351128074635333,0.5,0.0,0.0,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.5,0.0,0.0,0.21428571428571427,0.0,0.0,Flavonoid,SVMrbf,ok
2026-06-16 01:46:22,57.12377381324768,Antioxidant_GB,Antioxidant,GB,"[1, 0]",1625,15,5,20,0.5204444444444445,0.11209255435014737,0.025064657129851925,0.5759736844303761,0.08465993892249905,0.018930537840168817,0.505,0.09847447497814964,0.02201956200997447,0.585249821948114,0.08914227044146361,0.01993281763757828,0.5029101636667426,0.0727586134878945,0.01626932057075652,0.7033333333333334,0.1219744964235466,0.027274326552435516,0.6933333333333332,0.11430952132988166,0.025560386016907754,0.2966666666666667,0.12197449642354657,0.027274326552435512,10.55,1.8296174463531985,0.40911489828653264,4.6,1.7146428199482247,0.38340579025361626,10.4,1.7146428199482247,0.38340579025361626,4.45,1.8296174463531987,0.4091148982865327,0.500000,0.500000,0.594595,0.4374999999999999,0.1389756673346493,0.031075903937867286,0.6211542103729604,0.1078097830791649,0.02410700036045193,Antioxidant,GB,ok
2026-06-16 01:46:30,6.990894079208374,Antioxidant_SVMrbf,Antioxidant,SVMrbf,"[1, 0]",1625,15,5,20,0.49866666666666665,0.005811865258054221,0.0012995725793078594,0.5,0.0,0.0,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.5,0.0,0.0,0.5714285714285714,0.0,0.0,Antioxidant,SVMrbf,ok
2026-06-16 01:47:25,54.353042125701904,Seed_Length_GB,Seed_Length,GB,"[1, 0]",1625,15,5,20,0.6215555555555556,0.10423406708337127,0.02330744595696914,0.6306903483684001,0.09472838923052777,0.02118191177185191,0.5966666666666666,0.09061518146045457,0.020262170553905508,0.6449507981186797,0.07531608158314619,0.016841187821883485,0.5809897617600539,0.08126416199789652,0.018171219036185172,0.73,0.08812869377601526,0.019706175005143274,0.5366666666666666,0.13576941236277534,0.0303589635308366,0.27,0.08812869377601523,0.019706175005143267,10.95,1.3219304066402287,0.29559262507714906,6.95,2.03654118544163,0.455384452962549,8.05,2.03654118544163,0.455384452962549,4.05,1.3219304066402287,0.29559262507714906,0.550000,0.566667,0.628571,0.6461538461538462,0.20264522880491526,0.0453128506923789,0.22942460317460314,0.12063872402891106,0.02697563876474824,Seed_Length,GB,ok
2026-06-16 01:47:32,6.4852330684661865,Seed_Length_SVMrbf,Seed_Length,SVMrbf,"[1, 0]",1625,15,5,20,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6666666666666665,1.1102230246251565e-16,2.482534153247273e-17,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.500000,0.500000,0.666667,0.5,0.0,0.0,0.07142857142857142,0.0,0.0,Seed_Length,SVMrbf,ok
