trait,model,boot_i,boot_j,spearman_full,jaccard_top_k
Insoluble_Oxalate,RandomForest,2,23,0.30234626780523205,0.0
Insoluble_Oxalate,RandomForest,2,24,0.29813720113707387,0.1111111111111111
Insoluble_Oxalate,RandomForest,2,25,0.2665630557252901,0.0
Insoluble_Oxalate,RandomForest,2,26,0.23510329166952146,0.0
Insoluble_Oxalate,RandomForest,2,27,0.21547832750021323,0.0
Insoluble_Oxalate,RandomForest,2,28,0.3361239287497081,0.0
Insoluble_Oxalate,RandomForest,2,29,0.368331418168293,0.0
Insoluble_Oxalate,RandomForest,3,4,0.24336651616610896,0.0
Insoluble_Oxalate,RandomForest,3,5,0.26785612631419986,0.0
Insoluble_Oxalate,RandomForest,3,6,0.2885484717598218,0.0
Insoluble_Oxalate,RandomForest,3,7,0.2647035232231822,0.0
Insoluble_Oxalate,RandomForest,3,8,0.3227824947669712,0.1111111111111111
Insoluble_Oxalate,RandomForest,3,9,0.1318549042254348,0.0
Insoluble_Oxalate,RandomForest,3,10,0.23187507288487055,0.0
Insoluble_Oxalate,RandomForest,3,11,0.19644443760845337,0.0
Insoluble_Oxalate,RandomForest,3,12,0.21757551292072222,0.0
Insoluble_Oxalate,RandomForest,3,13,0.24861295442056353,0.0
Insoluble_Oxalate,RandomForest,3,14,0.2649566270350085,0.0
Insoluble_Oxalate,RandomForest,3,15,0.2920834320279542,0.0
Insoluble_Oxalate,RandomForest,3,16,0.26292523026026016,0.0
Insoluble_Oxalate,RandomForest,3,17,0.31108737095707445,0.0
Insoluble_Oxalate,RandomForest,3,18,0.33575954494671884,0.25
Insoluble_Oxalate,RandomForest,3,19,0.22591855910980477,0.0
Insoluble_Oxalate,RandomForest,3,20,0.34468827647730815,0.0
Insoluble_Oxalate,RandomForest,3,21,0.22437527633328624,0.0
Insoluble_Oxalate,RandomForest,3,22,0.2801102117121967,0.0
Insoluble_Oxalate,RandomForest,3,23,0.2528570785366815,0.0
Insoluble_Oxalate,RandomForest,3,24,0.27203443102259744,0.0
Insoluble_Oxalate,RandomForest,3,25,0.25472050941805363,0.0
Insoluble_Oxalate,RandomForest,3,26,0.17474208194147117,0.0
Insoluble_Oxalate,RandomForest,3,27,0.18191250459681557,0.0
Insoluble_Oxalate,RandomForest,3,28,0.2975497204157339,0.0
Insoluble_Oxalate,RandomForest,3,29,0.18148314314518663,0.0
Insoluble_Oxalate,RandomForest,4,5,0.2841708742968445,0.0
Insoluble_Oxalate,RandomForest,4,6,0.36922377787627814,0.1111111111111111
Insoluble_Oxalate,RandomForest,4,7,0.2507233367218098,0.0
Insoluble_Oxalate,RandomForest,4,8,0.2694540255520024,0.0
