trait,model,auc_mean,auc_std,auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,mcc_mean,mcc_std,mcc_count,topk_mean,topk_std,topk_count
Antioxidant,LightGBM,0.3915882450882451,0.19087751485586082,25,0.2712916527916528,0.14205019553124965,25,-0.07088008069369621,0.21140948505922272,25,0.168,0.13759844960366863,25
Antioxidant,LogReg,0.636012876012876,0.11930740595889049,25,0.41598970473970476,0.15848264000336254,25,0.10019932289062233,0.21263969476269512,25,0.28800000000000003,0.14236104336041747,25
Antioxidant,MLP,0.5660318015318015,0.13273542764043958,25,0.3763816683316683,0.17235207288779017,25,0.06760347647400144,0.2471922844184373,25,0.22400000000000003,0.1562049935181331,25
Antioxidant,RandomForest,0.5880824730824731,0.17164342745965488,25,0.3923767861767862,0.18713689784284343,25,0.008056103332075782,0.08612277563921768,25,0.264,0.16041612554021284,25
Antioxidant,XGBoost,0.5669561549561549,0.19716113603732383,25,0.3856241906241906,0.2068388121702068,25,0.0439120361676468,0.23057464014282233,25,0.272,0.19043809142780932,25
Crude_Protein,LightGBM,0.5229941724941725,0.13189632949901717,25,0.35903564953564954,0.146920602564739,25,0.05980855992903877,0.20186604948213877,25,0.22400000000000003,0.13316656236958785,25
Crude_Protein,LogReg,0.6080445665445665,0.1278418311170613,25,0.3981012321012321,0.1358916773455183,25,0.060714193743893995,0.22362636192350643,25,0.29600000000000004,0.11718930554164632,25
Crude_Protein,MLP,0.5773807303807303,0.13589641955548004,25,0.41177067747067747,0.16991353060310518,25,0.11411689004237792,0.2289665282402348,25,0.28,0.16329931618554522,25
Crude_Protein,RandomForest,0.582075369075369,0.11771803093033611,25,0.38902266437266436,0.1362651694955223,25,-0.020613228443633655,0.0482445535837038,25,0.264,0.1254325848148452,25
Crude_Protein,XGBoost,0.570034077034077,0.1437179335619181,25,0.39119327524327524,0.16789301958748973,25,0.04130857097215752,0.18535766253610933,25,0.272,0.1514375558880073,25
Flavonoid,LightGBM,0.3034087024087024,0.12998352000516666,25,0.21755830095830095,0.08666589615823085,25,-0.15728323342266443,0.20223157874450248,25,0.07200000000000001,0.11372481406154657,25
Flavonoid,LogReg,0.3340916860916861,0.12324150003473937,25,0.22708393458393458,0.07705957382939632,25,-0.11267163880679887,0.19912906712729736,25,0.136,0.13808210118138653,25
Flavonoid,MLP,0.3812781662781663,0.12767528680524612,25,0.2477996521996522,0.0899475725530663,25,-0.09939628624903507,0.18558502967044316,25,0.14400000000000002,0.13564659966250536,25
Flavonoid,RandomForest,0.3646320901320901,0.12111797717492483,25,0.2522810300810301,0.10097415791706801,25,-0.004961389383568339,0.024806946917841695,25,0.14400000000000002,0.14742229591663988,25
Flavonoid,XGBoost,0.3134087024087024,0.1285691600417243,25,0.2384118622118622,0.09984359511206539,25,-0.10953762253681593,0.1421939423172066,25,0.10400000000000001,0.1171893055416463,25
Insoluble_Oxalate,LightGBM,0.5,0.0,24,0.2232142857142857,0.07315461134202937,24,0.0,0.0,24,0.20000000000000004,0.1318760946791574,24
Insoluble_Oxalate,LogReg,0.626388888888889,0.20972242217733691,24,0.4690310846560846,0.23387838971345207,24,0.04080197886438051,0.39507869782671057,24,0.2833333333333334,0.11671841502435296,24
Insoluble_Oxalate,MLP,0.5770833333333333,0.27110493627639826,24,0.4779761904761905,0.26628558988436657,24,-0.0009411737985656338,0.3197934986075207,24,0.26666666666666666,0.14039282363260677,24
Insoluble_Oxalate,RandomForest,0.657638888888889,0.19179920853046986,24,0.46937830687830684,0.21415348355655922,24,0.0,0.0,24,0.30833333333333335,0.13160106602801572,24
Insoluble_Oxalate,XGBoost,0.65625,0.23342712918099554,24,0.5274801587301587,0.2659639598587333,24,-0.03318935342802567,0.2944793182823668,24,0.275,0.1293797914466653,24
Mass_of_Seeds,LightGBM,0.6183403263403263,0.18457001683796492,25,0.4154816384051678,0.20005609971987215,25,0.11736417431701368,0.30253326943032377,25,0.32,0.18257418583505536,25
Mass_of_Seeds,LogReg,0.7013799533799534,0.13580542194883102,25,0.47522924297924296,0.1620049360869305,25,0.2554724383055451,0.2481998401604843,25,0.35200000000000004,0.132664991614216,25
Mass_of_Seeds,MLP,0.7392494172494172,0.122863887950521,25,0.5179676268176268,0.1708783296866994,25,0.22731680176708557,0.2341117582197981,25,0.36800000000000005,0.11075498483890767,25
