mutation_per_site,n_estimation,theta_per_site_median,theta_per_site_2.5%,theta_per_site_97.5%,year,Ne_median,Ne_2.5%,Ne_97.5%,Ne_12.5%,Ne_87.5%
5e-324,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,7.05808066e-316,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.1068137639265966e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0044383053770379,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.474824845651241e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0049640354937874,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.474824845651241e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0049640354937874,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.864350935884688e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0055205013369781,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.864350935884688e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0055205013369781,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.8713563868714666e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.005530509124102,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.8713563868714666e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.005530509124102,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.946458447304944e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0056377977818642,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.946458447304944e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0056377977818642,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.978100076674195e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0056830001095345,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
3.978100076674195e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0056830001095345,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
4.0753259653880124e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0058218942362685,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
4.0753259653880124e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0058218942362685,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
4.2724127169856175e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0061034467385508,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
4.2724127169856175e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0061034467385508,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
4.4110793800293135e-11,200,3.0227848993880407e-06,1.4285357402903693e-06,7.713170988219125e-06,0.0063015419714704,107.95660354957288,51.0191335817989,275.47039243639733,70.80993786150096,183.51433836683933
